08:36:27.299|I|| --------- Sistema Inicializando --------- 
08:36:27.300QIODevice::write (QSerialPort): device not open
08:36:27.300|E||Porta serial ttyUSB0 indisponivel para uso
08:36:27.326libpng warning: iCCP: known incorrect sRGB profile
08:36:27.414libpng warning: iCCP: known incorrect sRGB profile
08:36:41.476|E|2|Erro ao inicializar cameras: Lista de cameras vazia
08:36:41.476|E|2|Erro ao inicializar cameras: Lista de cameras vazia
08:36:41.730QIODevice::write (QSerialPort): device not open
08:36:41.739QIODevice::write (QSerialPort): device not open
08:36:42.255QIODevice::write (QSerialPort): device not open
08:36:42.264QIODevice::write (QSerialPort): device not open
08:36:42.780QIODevice::write (QSerialPort): device not open
08:36:42.789QIODevice::write (QSerialPort): device not open
08:36:42.900|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:36:43.077|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:36:43.304QIODevice::write (QSerialPort): device not open
08:36:43.313QIODevice::write (QSerialPort): device not open
08:36:43.830QIODevice::write (QSerialPort): device not open
08:36:43.839QIODevice::write (QSerialPort): device not open
08:36:44.355QIODevice::write (QSerialPort): device not open
08:36:44.364QIODevice::write (QSerialPort): device not open
08:36:44.872QIODevice::write (QSerialPort): device not open
08:36:44.872QIODevice::write (QSerialPort): device not open
08:36:45.253|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:36:45.371QIODevice::write (QSerialPort): device not open
08:36:45.371QIODevice::write (QSerialPort): device not open
08:36:45.872QIODevice::write (QSerialPort): device not open
08:36:45.872QIODevice::write (QSerialPort): device not open
08:36:45.917|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:36:46.372QIODevice::write (QSerialPort): device not open
08:36:46.372QIODevice::write (QSerialPort): device not open
08:36:46.413|W|2|WARNING: configuration DISK/ROTATE_ANG not found
08:36:46.872QIODevice::write (QSerialPort): device not open
08:36:46.872QIODevice::write (QSerialPort): device not open
08:36:47.372QIODevice::write (QSerialPort): device not open
08:36:47.372QIODevice::write (QSerialPort): device not open
08:36:47.872QIODevice::write (QSerialPort): device not open
08:36:47.872QIODevice::write (QSerialPort): device not open
08:36:48.372QIODevice::write (QSerialPort): device not open
08:36:48.372QIODevice::write (QSerialPort): device not open
08:36:48.872QIODevice::write (QSerialPort): device not open
08:36:48.872QIODevice::write (QSerialPort): device not open
08:36:49.372QIODevice::write (QSerialPort): device not open
08:36:49.372QIODevice::write (QSerialPort): device not open
08:36:49.872QIODevice::write (QSerialPort): device not open
08:36:49.872QIODevice::write (QSerialPort): device not open
08:36:50.371QIODevice::write (QSerialPort): device not open
08:36:50.372QIODevice::write (QSerialPort): device not open
08:36:50.872QIODevice::write (QSerialPort): device not open
08:36:50.872QIODevice::write (QSerialPort): device not open
08:36:51.372QIODevice::write (QSerialPort): device not open
08:36:51.372QIODevice::write (QSerialPort): device not open
08:36:51.872QIODevice::write (QSerialPort): device not open
08:36:51.873QIODevice::write (QSerialPort): device not open
08:36:52.371QIODevice::write (QSerialPort): device not open
08:36:52.371QIODevice::write (QSerialPort): device not open
08:36:52.871QIODevice::write (QSerialPort): device not open
08:36:52.871QIODevice::write (QSerialPort): device not open
08:36:53.371QIODevice::write (QSerialPort): device not open
08:36:53.372QIODevice::write (QSerialPort): device not open
08:36:53.871QIODevice::write (QSerialPort): device not open
08:36:53.871QIODevice::write (QSerialPort): device not open
08:36:54.372QIODevice::write (QSerialPort): device not open
08:36:54.372QIODevice::write (QSerialPort): device not open
08:36:54.872QIODevice::write (QSerialPort): device not open
08:36:54.872QIODevice::write (QSerialPort): device not open
08:36:55.372QIODevice::write (QSerialPort): device not open
08:36:55.372QIODevice::write (QSerialPort): device not open
08:36:55.872QIODevice::write (QSerialPort): device not open
08:36:55.872QIODevice::write (QSerialPort): device not open
08:36:56.372QIODevice::write (QSerialPort): device not open
08:36:56.372QIODevice::write (QSerialPort): device not open
08:36:56.871QIODevice::write (QSerialPort): device not open
08:36:56.872QIODevice::write (QSerialPort): device not open
08:36:57.371QIODevice::write (QSerialPort): device not open
08:36:57.372QIODevice::write (QSerialPort): device not open
08:36:58.037QIODevice::write (QSerialPort): device not open
08:36:58.038QIODevice::write (QSerialPort): device not open
08:36:58.371QIODevice::write (QSerialPort): device not open
08:36:58.372QIODevice::write (QSerialPort): device not open
08:36:58.872QIODevice::write (QSerialPort): device not open
08:36:58.872QIODevice::write (QSerialPort): device not open
08:36:59.371QIODevice::write (QSerialPort): device not open
08:36:59.372QIODevice::write (QSerialPort): device not open
08:36:59.872QIODevice::write (QSerialPort): device not open
08:36:59.872QIODevice::write (QSerialPort): device not open
08:37:00.371QIODevice::write (QSerialPort): device not open
08:37:00.372QIODevice::write (QSerialPort): device not open
08:37:00.871QIODevice::write (QSerialPort): device not open
08:37:00.872QIODevice::write (QSerialPort): device not open
08:37:01.371QIODevice::write (QSerialPort): device not open
08:37:01.371QIODevice::write (QSerialPort): device not open
08:37:01.871QIODevice::write (QSerialPort): device not open
08:37:01.871QIODevice::write (QSerialPort): device not open
08:37:02.372QIODevice::write (QSerialPort): device not open
08:37:02.372QIODevice::write (QSerialPort): device not open
08:37:02.872QIODevice::write (QSerialPort): device not open
08:37:02.872QIODevice::write (QSerialPort): device not open
08:37:03.372QIODevice::write (QSerialPort): device not open
08:37:03.373QIODevice::write (QSerialPort): device not open
08:37:03.872QIODevice::write (QSerialPort): device not open
08:37:03.873QIODevice::write (QSerialPort): device not open
08:37:04.372QIODevice::write (QSerialPort): device not open
08:37:04.372QIODevice::write (QSerialPort): device not open
08:37:04.871QIODevice::write (QSerialPort): device not open
08:37:04.872QIODevice::write (QSerialPort): device not open
08:37:05.371QIODevice::write (QSerialPort): device not open
08:37:05.372QIODevice::write (QSerialPort): device not open
08:37:05.872QIODevice::write (QSerialPort): device not open
08:37:05.873QIODevice::write (QSerialPort): device not open
08:37:06.371QIODevice::write (QSerialPort): device not open
08:37:06.372QIODevice::write (QSerialPort): device not open
08:37:06.871QIODevice::write (QSerialPort): device not open
08:37:06.872QIODevice::write (QSerialPort): device not open
08:37:07.372QIODevice::write (QSerialPort): device not open
08:37:07.372QIODevice::write (QSerialPort): device not open
08:37:07.872QIODevice::write (QSerialPort): device not open
08:37:07.872QIODevice::write (QSerialPort): device not open
08:37:08.372QIODevice::write (QSerialPort): device not open
08:37:08.372QIODevice::write (QSerialPort): device not open
08:37:08.872QIODevice::write (QSerialPort): device not open
08:37:08.873QIODevice::write (QSerialPort): device not open
08:37:09.372QIODevice::write (QSerialPort): device not open
08:37:09.373QIODevice::write (QSerialPort): device not open
08:37:09.873QIODevice::write (QSerialPort): device not open
08:37:09.873QIODevice::write (QSerialPort): device not open
08:37:10.373QIODevice::write (QSerialPort): device not open
08:37:10.373QIODevice::write (QSerialPort): device not open
08:37:10.873QIODevice::write (QSerialPort): device not open
08:37:10.873QIODevice::write (QSerialPort): device not open
08:37:11.373QIODevice::write (QSerialPort): device not open
08:37:11.373QIODevice::write (QSerialPort): device not open
08:37:11.873QIODevice::write (QSerialPort): device not open
08:37:11.873QIODevice::write (QSerialPort): device not open
08:37:12.372QIODevice::write (QSerialPort): device not open
08:37:12.373QIODevice::write (QSerialPort): device not open
08:37:12.872QIODevice::write (QSerialPort): device not open
08:37:12.873QIODevice::write (QSerialPort): device not open
08:37:13.372QIODevice::write (QSerialPort): device not open
08:37:13.373QIODevice::write (QSerialPort): device not open
08:37:13.872QIODevice::write (QSerialPort): device not open
08:37:13.872QIODevice::write (QSerialPort): device not open
08:37:14.372QIODevice::write (QSerialPort): device not open
08:37:14.372QIODevice::write (QSerialPort): device not open
08:37:14.872QIODevice::write (QSerialPort): device not open
08:37:14.872QIODevice::write (QSerialPort): device not open
08:37:15.373QIODevice::write (QSerialPort): device not open
08:37:15.373QIODevice::write (QSerialPort): device not open
08:37:15.873QIODevice::write (QSerialPort): device not open
08:37:15.873QIODevice::write (QSerialPort): device not open
08:37:16.373QIODevice::write (QSerialPort): device not open
08:37:16.373QIODevice::write (QSerialPort): device not open
08:37:16.872QIODevice::write (QSerialPort): device not open
08:37:16.872QIODevice::write (QSerialPort): device not open
08:37:17.372QIODevice::write (QSerialPort): device not open
08:37:17.372QIODevice::write (QSerialPort): device not open
08:37:17.872QIODevice::write (QSerialPort): device not open
08:37:17.872QIODevice::write (QSerialPort): device not open
08:37:18.372QIODevice::write (QSerialPort): device not open
08:37:18.372QIODevice::write (QSerialPort): device not open
08:37:18.873QIODevice::write (QSerialPort): device not open
08:37:18.873QIODevice::write (QSerialPort): device not open
08:37:19.372QIODevice::write (QSerialPort): device not open
08:37:19.373QIODevice::write (QSerialPort): device not open
08:37:19.872QIODevice::write (QSerialPort): device not open
08:37:19.873QIODevice::write (QSerialPort): device not open
08:37:20.372QIODevice::write (QSerialPort): device not open
08:37:20.373QIODevice::write (QSerialPort): device not open
08:37:20.872QIODevice::write (QSerialPort): device not open
08:37:20.873QIODevice::write (QSerialPort): device not open
08:37:21.372QIODevice::write (QSerialPort): device not open
08:37:21.372QIODevice::write (QSerialPort): device not open
08:37:21.872QIODevice::write (QSerialPort): device not open
08:37:21.872QIODevice::write (QSerialPort): device not open
08:37:22.372QIODevice::write (QSerialPort): device not open
08:37:22.372QIODevice::write (QSerialPort): device not open
08:37:22.873QIODevice::write (QSerialPort): device not open
08:37:22.873QIODevice::write (QSerialPort): device not open
08:37:23.372QIODevice::write (QSerialPort): device not open
08:37:23.373QIODevice::write (QSerialPort): device not open
08:37:23.872QIODevice::write (QSerialPort): device not open
08:37:23.873QIODevice::write (QSerialPort): device not open
08:37:24.372QIODevice::write (QSerialPort): device not open
08:37:24.373QIODevice::write (QSerialPort): device not open
08:37:24.872QIODevice::write (QSerialPort): device not open
08:37:24.873QIODevice::write (QSerialPort): device not open
08:37:25.372QIODevice::write (QSerialPort): device not open
08:37:25.373QIODevice::write (QSerialPort): device not open
08:37:25.872QIODevice::write (QSerialPort): device not open
08:37:25.873QIODevice::write (QSerialPort): device not open
08:37:26.372QIODevice::write (QSerialPort): device not open
08:37:26.372QIODevice::write (QSerialPort): device not open
08:37:26.873QIODevice::write (QSerialPort): device not open
08:37:26.873QIODevice::write (QSerialPort): device not open
08:37:27.372QIODevice::write (QSerialPort): device not open
08:37:27.373QIODevice::write (QSerialPort): device not open
08:37:27.872QIODevice::write (QSerialPort): device not open
08:37:27.873QIODevice::write (QSerialPort): device not open
08:37:28.372QIODevice::write (QSerialPort): device not open
08:37:28.373QIODevice::write (QSerialPort): device not open
08:37:28.872QIODevice::write (QSerialPort): device not open
08:37:28.873QIODevice::write (QSerialPort): device not open
08:37:29.372QIODevice::write (QSerialPort): device not open
08:37:29.373QIODevice::write (QSerialPort): device not open
08:37:29.872QIODevice::write (QSerialPort): device not open
08:37:29.873QIODevice::write (QSerialPort): device not open
08:37:30.372QIODevice::write (QSerialPort): device not open
08:37:30.372QIODevice::write (QSerialPort): device not open
08:37:30.872QIODevice::write (QSerialPort): device not open
08:37:30.872QIODevice::write (QSerialPort): device not open
08:37:31.371QIODevice::write (QSerialPort): device not open
08:37:31.372QIODevice::write (QSerialPort): device not open
08:37:31.872QIODevice::write (QSerialPort): device not open
08:37:31.872QIODevice::write (QSerialPort): device not open
08:37:32.372QIODevice::write (QSerialPort): device not open
08:37:32.372QIODevice::write (QSerialPort): device not open
08:37:32.872QIODevice::write (QSerialPort): device not open
08:37:32.872QIODevice::write (QSerialPort): device not open
08:37:33.372QIODevice::write (QSerialPort): device not open
08:37:33.372QIODevice::write (QSerialPort): device not open
08:37:33.872QIODevice::write (QSerialPort): device not open
08:37:33.873QIODevice::write (QSerialPort): device not open
08:37:34.371QIODevice::write (QSerialPort): device not open
08:37:34.372QIODevice::write (QSerialPort): device not open
08:37:34.872QIODevice::write (QSerialPort): device not open
08:37:34.872QIODevice::write (QSerialPort): device not open
08:37:35.372QIODevice::write (QSerialPort): device not open
08:37:35.372QIODevice::write (QSerialPort): device not open
08:37:35.872QIODevice::write (QSerialPort): device not open
08:37:35.872QIODevice::write (QSerialPort): device not open
08:37:36.372QIODevice::write (QSerialPort): device not open
08:37:36.372QIODevice::write (QSerialPort): device not open
08:37:36.871QIODevice::write (QSerialPort): device not open
08:37:36.872QIODevice::write (QSerialPort): device not open
